,0
CVX.1,1
CZR.1,0
D.1,0
DAL.1,0
DD.1,0
DE.1,0
DFS.1,0
DG.1,0
DGX.1,0
DHI.1,0
DHR.1,0
DIS.1,0
DLR.1,0
DLTR.1,0
DOV.1,0
DOW.1,0
DPZ.1,0
DRI.1,0
DTE.1,0
DUK.1,0
DVA.1,0
DVN.1,0
DXCM.1,2
EA.1,0
EBAY.1,1
ECL.1,0
ED.1,1
EFX.1,0
EG.1,0
EIX.1,1
EL.1,0
ELV.1,0
EMN.1,0
EMR.1,0
ENPH.1,0
EOG.1,0
EPAM.1,0
EQIX.1,0
EQR.1,0
EQT.1,0
ES.1,0
ESS.1,0
ETN.1,0
ETR.1,0
ETSY.1,0
EVRG.1,0
EW.1,0
EXC.1,1
EXPD.1,0
EXPE.1,0
EXR.1,0
F.1,0
FANG.1,0
FAST.1,0
FCX.1,0
FDS.1,0
FDX.1,0
FE.1,0
FFIV.1,0
FI.1,0
FICO.1,0
FIS.1,0
FITB.1,0
FLT.1,0
FMC.1,0
FOX.1,0
FOXA.1,0
FRT.1,0
FSLR.1,0
FTNT.1,0
FTV.1,0
GD.1,0
GE.1,0
GEHC.1,0
GEN.1,0
GILD.1,0
GIS.1,0
GL.1,0
GLW.1,0
GM.1,0
GNRC.1,0
GOOG.1,0
GOOGL.1,0
GPC.1,0
GPN.1,0
GRMN.1,0
GS.1,0
GWW.1,0
HAL.1,0
HAS.1,0
HBAN.1,0
HCA.1,0
HD.1,0
HES.1,0
HIG.1,0
HII.1,0
HLT.1,1
HOLX.1,0
HON.1,0
HPE.1,0
HPQ.1,0
HRL.1,2
HSIC.1,0
HST.1,0
HSY.1,0
HUM.1,0
HWM.1,0
IBM.1,0
ICE.1,0
IDXX.1,0
IEX.1,0
IFF.1,0
ILMN.1,0
INCY.1,0
INTC.1,0
INTU.1,0
INVH.1,0
IP.1,0
IPG.1,0
IQV.1,0
IR.1,0
IRM.1,0
ISRG.1,0
IT.1,0
ITW.1,1
IVZ.1,0
J.1,0
JBHT.1,0
JCI.1,0
JKHY.1,0
JNJ.1,0
JNPR.1,0
JPM.1,0
K.1,3
KDP.1,2
KEY.1,0
KEYS.1,0
KHC.1,0
KIM.1,0
KLAC.1,0
KMB.1,0
KMI.1,0
KMX.1,0
KO.1,5
KR.1,0
KVUE.1,0
L.1,0
LDOS.1,0
LEN.1,0
LH.1,0
LHX.1,0
LIN.1,0
LKQ.1,0
LLY.1,0
LMT.1,0
LNT.1,1
LOW.1,0
LRCX.1,0
LUV.1,0
LVS.1,0
LW.1,0
LYB.1,0
LYV.1,0
MA.1,0
MAA.1,0
MAR.1,0
MAS.1,0
MCD.1,0
MCHP.1,0
MCK.1,0
MCO.1,0
MDLZ.1,0
MDT.1,0
MET.1,0
META.1,0
MGM.1,0
MHK.1,0
MKC.1,1
MKTX.1,0
MLM.1,0
MMC.1,0
MMM.1,3
MNST.1,0
MO.1,0
MOH.1,0
MOS.1,0
MPC.1,0
MPWR.1,1
MRK.1,0
MRNA.1,0
MRO.1,0
MS.1,0
MSCI.1,0
MSFT.1,0
MSI.1,0
MTB.1,0
MTCH.1,0
MTD.1,0
MU.1,0
NCLH.1,0
NDAQ.1,0
NDSN.1,0
NEE.1,6
NEM.1,0
NFLX.1,0
NI.1,4
NKE.1,0
NOC.1,2
NOW.1,0
NRG.1,0
NSC.1,0
NTAP.1,0
NTRS.1,0
NUE.1,0
NVDA.1,0
NVR.1,0
NWS.1,0
NWSA.1,0
NXPI.1,0
O.1,0
ODFL.1,0
OGN.1,0
OKE.1,0
OMC.1,0
ON.1,0
ORCL.1,0
ORLY.1,0
OTIS.1,0
OXY.1,0
PANW.1,0
PARA.1,0
PAYC.1,0
PAYX.1,0
PCAR.1,0
PCG.1,0
PEAK.1,0
PEG.1,1
PEP.1,0
PFE.1,1
PFG.1,0
PG.1,0
PGR.1,1
PH.1,0
PHM.1,0
PKG.1,0
PLD.1,1
PM.1,0
PNC.1,0
PNR.1,0
PNW.1,0
PODD.1,0
POOL.1,1
PPG.1,0
PPL.1,0
PRU.1,0
PSA.1,0
PSX.1,0
PTC.1,0
PWR.1,0
PXD.1,0
PYPL.1,0
QCOM.1,0
QRVO.1,0
RCL.1,0
REG.1,0
REGN.1,0
RF.1,0
RHI.1,0
RJF.1,0
RL.1,0
RMD.1,0
ROK.1,0
ROL.1,0
ROP.1,0
ROST.1,0
RSG.1,0
RTX.1,0
RVTY.1,0
SBAC.1,0
SBUX.1,0
SCHW.1,0
